filename,width,height,class,xmin,ymin,xmax,ymax
0287.jpg,640,480,robot,231,93,436,463
1565609274731933780.jpg,640,480,robot,438,97,506,262
1103.jpg,640,480,robot,94,0,443,354
1565608627210901944.jpg,640,480,robot,529,1,633,390
1135.jpg,640,480,robot,6,94,284,459
1565609189575813295.jpg,640,480,robot,499,110,609,304
7158.jpg,640,480,robot,379,87,501,404
1565609101256012466.jpg,640,480,robot,303,0,397,355
2322.jpg,640,480,robot,451,51,570,323
1565609279767911779.jpg,640,480,robot,153,77,264,350
1565608776610781575.jpg,640,480,robot,386,20,512,403
5678.jpg,640,480,robot,260,91,457,472
1565609208207850728.jpg,640,480,robot,277,104,379,354
1565609121339810883.jpg,640,480,robot,275,0,368,269
0598.jpg,640,480,robot,290,63,569,480
1565608362144054071.jpg,640,480,robot,12,48,142,412
sequences_euro_ball_robot_1_c_00034.png,800,600,robot,395,107,506,259
1565608658077526794.jpg,640,480,robot,284,0,390,385
frame0142.png,640,360,robot,173,116,202,171
8969.jpg,640,480,robot,537,42,630,374
frame0309.png,640,360,robot,471,132,499,187
8229.jpg,640,480,robot,487,7,632,326
4866.jpg,640,480,robot,538,70,635,426
1565608555275421635.jpg,640,480,robot,10,0,94,409
5255.jpg,640,480,robot,208,38,356,395
frame0533.png,640,360,robot,313,96,336,154
0246.jpg,640,480,robot,264,86,454,461
1680.jpg,640,480,robot,339,42,439,310
sequences_euro_ball_robot_1_a_00093.png,800,600,robot,726,262,800,309
frame0773.png,640,360,robot,291,70,330,137
1565608777144285849.jpg,640,480,robot,399,24,514,399
frame0542.png,640,360,robot,240,88,283,189
1565609112839852041.jpg,640,480,robot,305,0,406,362
1565608777877757187.jpg,640,480,robot,394,14,518,386
1565608685677508852.jpg,640,480,robot,388,5,494,389
1155.jpg,640,480,robot,221,41,356,278
7297.jpg,640,480,robot,389,86,522,404
1565608777710779528.jpg,640,480,robot,399,12,524,383
1565609129840405121.jpg,640,480,robot,153,9,236,226
1227.jpg,640,480,robot,105,70,243,304
2224.jpg,640,480,robot,379,38,500,308
4389.jpg,640,480,robot,148,45,376,434
1565609273431820267.jpg,640,480,robot,192,82,247,278
1565609200577293068.jpg,640,480,robot,249,90,361,301
frame0717.png,640,360,robot,292,76,317,123
1565608675010855588.jpg,640,480,robot,6,3,62,385
frame0217.png,640,360,robot,507,76,554,187
frame0520.png,640,360,robot,233,68,281,157
frame0288.png,640,360,robot,287,68,331,191
1565608658044290817.jpg,640,480,robot,286,0,390,384
1565608359607886815.jpg,640,480,robot,11,45,147,417
4740.jpg,640,480,robot,282,91,452,466
8950.jpg,640,480,robot,551,47,639,415
7656.jpg,640,480,robot,447,33,640,446
sequences_euro_ball_robot_1_c_00044.png,800,600,robot,430,84,508,243
9191.jpg,640,480,robot,263,3,383,247
1565608686544155064.jpg,640,480,robot,417,20,521,392
frame0590.png,640,360,robot,318,93,338,149
1565608692910810089.jpg,640,480,robot,590,18,635,390
4854.jpg,640,480,robot,460,57,582,407
1565608597640112657.jpg,640,480,robot,180,42,325,366
1565608464875425603.jpg,640,480,robot,142,25,311,398
1565609235163775907.jpg,640,480,robot,266,36,572,480
9247.jpg,640,480,robot,326,2,449,276
1565609247579449124.jpg,640,480,robot,326,0,523,297
1565608348208040444.jpg,640,480,robot,208,20,333,415
frame0156.png,640,360,robot,171,110,200,165
1565608343807956738.jpg,640,480,robot,239,40,372,430
1565608593607886923.jpg,640,480,robot,261,36,392,375
7136.jpg,640,480,robot,378,54,501,372
1565609198640325645.jpg,640,480,robot,94,156,195,390
1565608770444223323.jpg,640,480,robot,75,34,214,347
1115.jpg,640,480,robot,44,38,344,438
1565608555007976434.jpg,640,480,robot,2,0,76,424
4704.jpg,640,480,robot,220,114,383,458
frame0716.png,640,360,robot,39,66,71,114
sequences_euro_ball_robot_1_b_00265.png,800,600,robot,437,232,511,364
1565608352408034535.jpg,640,480,robot,137,48,274,410
1565608559275868395.jpg,640,480,robot,200,49,335,383
1565608615911272728.jpg,640,480,robot,129,34,278,353
1565608485639551437.jpg,640,480,robot,100,23,279,403
1565608468108028149.jpg,640,480,robot,68,32,241,397
1565609292315821895.jpg,640,480,robot,238,0,326,265
1565608780244573643.jpg,640,480,robot,458,14,571,385
sequences_euro_ball_robot_1_c_00024.png,800,600,robot,427,154,530,309
6251.jpg,640,480,robot,432,91,568,372
5011.jpg,640,480,robot,415,91,623,467
8757.jpg,640,480,robot,397,0,531,345
1853.jpg,640,480,robot,377,31,525,385
1565608622981513289.jpg,640,480,robot,394,28,509,388
1565609096756096662.jpg,640,480,robot,305,0,393,360
0120.jpg,640,480,robot,345,95,546,470
6674.jpg,640,480,robot,401,65,570,445
2879.jpg,640,480,robot,104,106,252,435
1565609208075288233.jpg,640,480,robot,285,94,367,387
1565609267047876913.jpg,640,480,robot,223,94,338,282
7585.jpg,640,480,robot,277,56,564,435
1565608361608126005.jpg,640,480,robot,10,46,142,414
1565609115963977427.jpg,640,480,robot,296,0,381,358
2130.jpg,640,480,robot,380,67,579,396
1565609250956101406.jpg,640,480,robot,211,62,441,480
1565608665144360453.jpg,640,480,robot,78,0,189,378
1565609204675903542.jpg,640,480,robot,397,82,503,348
1565608775577568151.jpg,640,480,robot,351,11,486,377
1565609105841725035.jpg,640,480,robot,305,0,393,365
1565609180275744953.jpg,640,480,robot,370,125,454,311
7533.jpg,640,480,robot,128,53,417,424
5059.jpg,640,480,robot,412,86,637,470
7113.jpg,640,480,robot,388,82,513,412
1212.jpg,640,480,robot,27,6,179,245
6938.jpg,640,480,robot,354,101,524,441
8636.jpg,640,480,robot,202,61,365,420
1565608680944142417.jpg,640,480,robot,227,0,324,374
4211.jpg,640,480,robot,330,56,449,337
3390.jpg,640,480,robot,184,46,384,418
3965.jpg,640,480,robot,474,31,632,369
7104.jpg,640,480,robot,328,79,473,432
1565609282431960335.jpg,640,480,robot,209,48,293,352
1565609120547911709.jpg,640,480,robot,302,0,399,367
1565609282232230434.jpg,640,480,robot,208,52,295,342
9133.jpg,640,480,robot,199,30,364,367
1565608490239316775.jpg,640,480,robot,347,62,504,433
7298.jpg,640,480,robot,389,86,522,404
1565609290515874263.jpg,640,480,robot,190,103,285,394
7286.jpg,640,480,robot,390,89,521,401
5664.jpg,640,480,robot,267,99,472,461
9162.jpg,640,480,robot,125,0,263,287
1565609272075922637.jpg,640,480,robot,351,113,412,284
1565608760077827058.jpg,640,480,robot,24,0,161,397
0594.jpg,640,480,robot,514,0,633,323
0056.jpg,640,480,robot,111,70,241,346
5202.jpg,640,480,robot,326,79,526,426
8515.jpg,640,480,robot,218,33,513,384
0151.jpg,640,480,robot,86,93,238,358
1565609267316059049.jpg,640,480,robot,225,89,329,276
2095.jpg,640,480,robot,258,30,415,363
1565608347475920285.jpg,640,480,robot,202,19,331,413
1565609179640225753.jpg,640,480,robot,365,124,456,308
1565609198476407823.jpg,640,480,robot,86,169,196,389
4587.jpg,640,480,robot,167,72,336,420
2576.jpg,640,480,robot,292,192,406,480
1565608493840380581.jpg,640,480,robot,468,35,620,399
sequences_euro_ball_robot_1_b_00317.png,800,600,robot,1,224,24,368
1565608348843920121.jpg,640,480,robot,208,43,336,415
1565609273332015644.jpg,640,480,robot,190,85,248,276
6818.jpg,640,480,robot,376,48,527,447
1565608626344061651.jpg,640,480,robot,514,0,627,398
2682.jpg,640,480,robot,378,153,489,444
1565609196776111856.jpg,640,480,robot,113,149,216,376
5536.jpg,640,480,robot,491,62,640,418
8847.jpg,640,480,robot,458,26,608,360
1811.jpg,640,480,robot,312,106,403,341
1565608357975859979.jpg,640,480,robot,24,47,179,412
sequences_euro_ball_robot_1_a_00039.png,800,600,robot,475,151,537,264
1565609274832006208.jpg,640,480,robot,440,94,510,258
1565608386575315922.jpg,640,480,robot,564,0,637,416
1565609118839284829.jpg,640,480,robot,309,0,396,370
frame0071.png,640,360,robot,416,107,456,179
2734.jpg,640,480,robot,240,47,386,393
1708.jpg,640,480,robot,603,68,639,282
0051.jpg,640,480,robot,345,96,546,469
7725.jpg,640,480,robot,455,33,637,442
1565608669177435146.jpg,640,480,robot,2,0,83,358
1565609232787527973.jpg,640,480,robot,232,0,616,450
1565609167575316399.jpg,640,480,robot,538,113,607,305
1565608750577472844.jpg,640,480,robot,289,1,418,384
8520.jpg,640,480,robot,264,19,488,400
1565608666010523334.jpg,640,480,robot,43,0,161,390
1822.jpg,640,480,robot,304,103,445,453
1565609247250634409.jpg,640,480,robot,302,0,517,357
8743.jpg,640,480,robot,429,21,561,367
0198.jpg,640,480,robot,189,110,331,359
1565609095177547512.jpg,640,480,robot,306,0,394,357
frame0190.png,640,360,robot,500,77,541,155
1538.jpg,640,480,robot,501,77,614,423
1565608557039378477.jpg,640,480,robot,34,24,197,379
1565609189739917950.jpg,640,480,robot,500,110,606,305
1565608493607774793.jpg,640,480,robot,449,33,598,369
frame0101.png,640,360,robot,456,108,496,186
1565609298883976168.jpg,640,480,robot,169,16,256,339
3775.jpg,640,480,robot,57,57,262,409
3722.jpg,640,480,robot,311,109,470,458
1565608565507612405.jpg,640,480,robot,553,0,636,452
3959.jpg,640,480,robot,428,50,572,378
1565608353176349572.jpg,640,480,robot,134,17,268,420
1565608486475982816.jpg,640,480,robot,133,22,312,401
frame0100.png,640,360,robot,452,108,492,186
2560.jpg,640,480,robot,287,193,398,477
4811.jpg,640,480,robot,401,73,549,423
1565609214240122772.jpg,640,480,robot,325,58,435,377
1565608750477554934.jpg,640,480,robot,290,1,419,384
1565609174140077248.jpg,640,480,robot,529,104,614,295
1565609302432188151.jpg,640,480,robot,12,81,110,425
1565609299447916388.jpg,640,480,robot,168,0,260,291
0645.jpg,640,480,robot,281,50,520,433
1565609260621333714.jpg,640,480,robot,164,43,241,263
8278.jpg,640,480,robot,511,46,636,414
0081.jpg,640,480,robot,111,72,242,344
7291.jpg,640,480,robot,390,87,522,402
1565609220675777953.jpg,640,480,robot,319,29,525,450
frame0118.png,640,360,robot,257,124,283,163
frame0559.png,640,360,robot,297,87,357,191
1254.jpg,640,480,robot,206,185,325,407
7254.jpg,640,480,robot,389,89,519,406
1329.jpg,640,480,robot,196,60,271,204
4283.jpg,640,480,robot,497,44,638,443
1565608599575803133.jpg,640,480,robot,116,11,263,353
8469.jpg,640,480,robot,250,27,415,385
1565608774877105217.jpg,640,480,robot,316,40,458,355
2705.jpg,640,480,robot,296,33,420,348
frame0568.png,640,360,robot,318,95,357,157
5647.jpg,640,480,robot,316,83,583,472
9030.jpg,640,480,robot,486,43,634,441
7239.jpg,640,480,robot,373,72,516,422
1565609140807759872.jpg,640,480,robot,516,204,630,394
1832.jpg,640,480,robot,279,105,416,421
1565609128003998086.jpg,640,480,robot,152,7,237,225
8700.jpg,640,480,robot,200,47,379,435
7021.jpg,640,480,robot,151,83,307,457
3157.jpg,640,480,robot,83,65,230,397
1565609167108152041.jpg,640,480,robot,510,105,600,297
1565609300967357772.jpg,640,480,robot,161,89,247,402
0183.jpg,640,480,robot,393,94,582,467
3832.jpg,640,480,robot,253,58,446,433
6877.jpg,640,480,robot,373,67,524,436
1565609301469555935.jpg,640,480,robot,10,75,111,393
1565609194239482811.jpg,640,480,robot,382,52,476,286
1299.jpg,640,480,robot,55,33,185,252
5312.jpg,640,480,robot,255,70,416,405
1565609173775762773.jpg,640,480,robot,528,102,615,295
1565609218500289742.jpg,640,480,robot,317,95,524,470
1565608663944332393.jpg,640,480,robot,106,0,223,353
1902.jpg,640,480,robot,332,0,537,376
1331.jpg,640,480,robot,205,70,274,217
1942.jpg,640,480,robot,244,83,418,479
3180.jpg,640,480,robot,151,91,306,450
1565608357577384399.jpg,640,480,robot,31,47,187,411
8382.jpg,640,480,robot,88,26,348,465
1565608351043794618.jpg,640,480,robot,145,56,281,403
1565609267016065013.jpg,640,480,robot,224,92,331,287
1565609191108632702.jpg,640,480,robot,536,91,630,321
1565609099379299301.jpg,640,480,robot,290,0,387,360
frame0623.png,640,360,robot,323,99,351,147
0076.jpg,640,480,robot,345,95,546,470
1959.jpg,640,480,robot,351,99,540,448
1565608473345543270.jpg,640,480,robot,1,0,75,430
1565609100755915630.jpg,640,480,robot,303,0,396,356
6542.jpg,640,480,robot,500,97,640,470
1565608356675938691.jpg,640,480,robot,42,43,200,417
7877.jpg,640,480,robot,523,22,636,331
8124.jpg,640,480,robot,399,0,543,364
1565609137711368788.jpg,640,480,robot,323,94,425,301
1565608684577601449.jpg,640,480,robot,385,42,490,396
1565609115880055058.jpg,640,480,robot,307,8,390,369
7731.jpg,640,480,robot,444,46,630,433
1565609143508012607.jpg,640,480,robot,165,200,253,402
1048.jpg,640,480,robot,173,50,575,427
frame0117.png,640,360,robot,170,111,199,166
1565609100296232186.jpg,640,480,robot,293,0,388,364
0686.jpg,640,480,robot,238,19,458,392
1565608485439295656.jpg,640,480,robot,93,33,272,404
1565609115047983798.jpg,640,480,robot,306,0,402,376
frame0447.png,640,360,robot,372,128,405,187
0768.jpg,640,480,robot,287,103,506,454
1565609286611944515.jpg,640,480,robot,112,5,214,300
1319.jpg,640,480,robot,25,48,162,262
1633.jpg,640,480,robot,292,209,435,474
frame0095.png,640,360,robot,228,143,254,182
6544.jpg,640,480,robot,515,91,640,447
1565609156939818276.jpg,640,480,robot,68,110,167,316
1565608491839836175.jpg,640,480,robot,409,62,550,405
3119.jpg,640,480,robot,217,58,340,411
1565609269847380413.jpg,640,480,robot,376,23,437,218
1565608350343256650.jpg,640,480,robot,159,41,289,423
2925.jpg,640,480,robot,226,19,354,412
3384.jpg,640,480,robot,228,56,402,375
1565609278932246293.jpg,640,480,robot,206,82,325,296
5364.jpg,640,480,robot,353,67,520,421
1565609176839819572.jpg,640,480,robot,294,117,368,300
3685.jpg,640,480,robot,213,21,366,414
8713.jpg,640,480,robot,262,21,439,405
1565608347147278469.jpg,640,480,robot,213,36,340,428
0987.jpg,640,480,robot,103,126,400,451
6624.jpg,640,480,robot,289,96,488,454
1565608386676671311.jpg,640,480,robot,561,3,637,424
3361.jpg,640,480,robot,279,67,386,366
1565609255411780505.jpg,640,480,robot,170,68,397,480
1565609196439897239.jpg,640,480,robot,158,137,273,349
3600.jpg,640,480,robot,389,65,589,477
2963.jpg,640,480,robot,232,37,367,423
2037.jpg,640,480,robot,181,67,335,412
3672.jpg,640,480,robot,303,64,455,420
7294.jpg,640,480,robot,389,87,522,403
0576.jpg,640,480,robot,160,51,442,480
2881.jpg,640,480,robot,101,77,243,398
1543.jpg,640,480,robot,267,186,487,470
1565608674844285208.jpg,640,480,robot,4,11,56,399
1565608489107376796.jpg,640,480,robot,285,30,443,396
1565608382943873909.jpg,640,480,robot,527,0,638,428
1565608547807804512.jpg,640,480,robot,5,0,63,410
7491.jpg,640,480,robot,318,41,510,380
1213.jpg,640,480,robot,21,4,161,246
1565609117755965364.jpg,640,480,robot,313,0,402,360
1565608679044193160.jpg,640,480,robot,137,11,249,390
1565608611844566533.jpg,640,480,robot,0,0,114,396
frame0093.png,640,360,robot,133,132,161,187
frame0645.png,640,360,robot,503,110,553,196
frame0630.png,640,360,robot,301,92,329,151
1565609108048131235.jpg,640,480,robot,294,0,392,352
frame0325.png,640,360,robot,460,70,520,192
1565608374576238863.jpg,640,480,robot,0,0,90,445
1565608467943913828.jpg,640,480,robot,71,24,248,404
1565608769811393465.jpg,640,480,robot,60,0,193,384
1565608543643225910.jpg,640,480,robot,23,35,183,372
1565609187575880504.jpg,640,480,robot,269,21,362,232
frame0299.png,640,360,robot,315,69,375,195
1565608340707696145.jpg,640,480,robot,239,37,372,432
3078.jpg,640,480,robot,228,53,351,404
6549.jpg,640,480,robot,519,86,639,449
frame0132.png,640,360,robot,175,113,204,168
1565608483475777835.jpg,640,480,robot,7,55,166,404
1565609279432362087.jpg,640,480,robot,171,60,277,333
1565608624043611394.jpg,640,480,robot,446,28,563,388
0820.jpg,640,480,robot,308,33,492,379
2205.jpg,640,480,robot,516,51,639,341
1565608493975830568.jpg,640,480,robot,469,61,609,409
1565609256540002623.jpg,640,480,robot,197,17,306,401
1565609253079355386.jpg,640,480,robot,190,0,388,296
6534.jpg,640,480,robot,405,19,559,407
1565608762677542451.jpg,640,480,robot,3,0,76,388
1565609153807939278.jpg,640,480,robot,495,59,598,264
1565609286155504532.jpg,640,480,robot,79,0,181,300
0105.jpg,640,480,robot,345,95,546,470
3946.jpg,640,480,robot,412,79,549,379
frame0505.png,640,360,robot,329,80,352,138
1565608492875832139.jpg,640,480,robot,415,49,560,387
0056.jpg,640,480,robot,345,95,546,470
1565609148607839774.jpg,640,480,robot,374,51,458,264
6267.jpg,640,480,robot,451,68,566,371
1260.jpg,640,480,robot,183,118,300,339
3067.jpg,640,480,robot,229,42,351,394
1565608779211051150.jpg,640,480,robot,422,16,539,388
1565608755012999794.jpg,640,480,robot,196,4,315,392
1565609222507666362.jpg,640,480,robot,291,0,520,365
3676.jpg,640,480,robot,277,47,426,391
6541.jpg,640,480,robot,487,91,636,466
0340.jpg,640,480,robot,268,76,451,434
1565608593543972520.jpg,640,480,robot,261,37,391,374
1565608536975558149.jpg,640,480,robot,227,35,358,370
1565609137004123650.jpg,640,480,robot,320,0,407,201
0378.jpg,640,480,robot,242,66,408,438
0411.jpg,640,480,robot,34,88,254,473
4276.jpg,640,480,robot,492,0,640,370
7604.jpg,640,480,robot,440,18,633,463
1565608602407307038.jpg,640,480,robot,16,9,161,354
frame0739.png,640,360,robot,272,70,307,130
6602.jpg,640,480,robot,399,88,581,462
1565608482544016121.jpg,640,480,robot,3,34,136,398
1565608495307965540.jpg,640,480,robot,557,0,634,422
8955.jpg,640,480,robot,556,33,640,391
1565609188439637399.jpg,640,480,robot,473,39,573,233
3086.jpg,640,480,robot,226,52,351,406
sequences_euro_ball_robot_1_a_00083.png,800,600,robot,565,199,621,268
1565609271863884203.jpg,640,480,robot,352,95,410,270
1565608559875939671.jpg,640,480,robot,199,26,341,352
0159.jpg,640,480,robot,339,87,543,470
1565608460564030354.jpg,640,480,robot,249,16,409,404
1565608598207921901.jpg,640,480,robot,160,21,302,368
3258.jpg,640,480,robot,318,44,432,416
1565608388607906161.jpg,640,480,robot,576,0,635,419
1375.jpg,640,480,robot,201,116,309,332
8765.jpg,640,480,robot,398,23,532,371
1565608682044145479.jpg,640,480,robot,265,3,363,377
0257.jpg,640,480,robot,243,105,438,464
4654.jpg,640,480,robot,141,54,345,420
0127.jpg,640,480,robot,345,95,545,470
1565608358675711506.jpg,640,480,robot,17,42,158,417
1565609212807964757.jpg,640,480,robot,100,82,199,376
1565609215079709988.jpg,640,480,robot,379,133,530,427
1565609201275395372.jpg,640,480,robot,330,47,427,273
0850.jpg,640,480,robot,371,13,545,329
1534.jpg,640,480,robot,446,63,596,363
1565608754044326627.jpg,640,480,robot,208,38,349,345
7192.jpg,640,480,robot,380,88,501,406
frame0206.png,640,360,robot,554,69,607,185
1565609174376004548.jpg,640,480,robot,536,94,605,287
1565608486439918946.jpg,640,480,robot,136,28,311,404
frame0289.png,640,360,robot,576,76,619,161
1565609197740289154.jpg,640,480,robot,106,191,209,417
sequences_euro_ball_robot_1_a_00088.png,800,600,robot,576,196,635,272
1288.jpg,640,480,robot,116,20,193,170
1565608613077810766.jpg,640,480,robot,29,37,187,355
2929.jpg,640,480,robot,230,18,357,411
1565609141140216982.jpg,640,480,robot,493,188,603,390
frame0497.png,640,360,robot,333,86,360,144
1565609147175763952.jpg,640,480,robot,164,111,268,314
frame0517.png,640,360,robot,337,80,360,138
1565609239911955431.jpg,640,480,robot,201,62,553,480
frame0587.png,640,360,robot,103,66,136,110
1565609289015863498.jpg,640,480,robot,183,97,276,388
1565608555839848602.jpg,640,480,robot,0,29,143,356
1565609161008070677.jpg,640,480,robot,346,97,432,304
frame0579.png,640,360,robot,318,93,338,149
1697.jpg,640,480,robot,487,6,599,247
1565608343043318231.jpg,640,480,robot,239,38,372,432
1473.jpg,640,480,robot,170,145,313,457
0814.jpg,640,480,robot,276,75,455,409
2301.jpg,640,480,robot,456,33,586,321
8131.jpg,640,480,robot,326,0,471,353
1565609296850368344.jpg,640,480,robot,160,39,264,341
0714.jpg,640,480,robot,241,1,472,348
8140.jpg,640,480,robot,279,0,416,368
1565608488875698440.jpg,640,480,robot,274,22,429,403
frame0317.png,640,360,robot,458,102,516,223
4407.jpg,640,480,robot,112,45,336,443
1281.jpg,640,480,robot,169,58,237,205
1565608493039302129.jpg,640,480,robot,423,63,557,402
sequences_euro_ball_robot_1_b_00310.png,800,600,robot,262,236,350,371
1565608685445931782.jpg,640,480,robot,394,0,498,400
1565609095611123886.jpg,640,480,robot,306,0,394,358
1565609303231887352.jpg,640,480,robot,13,80,109,426
1565609113212019218.jpg,640,480,robot,307,0,401,370
5062.jpg,640,480,robot,411,82,636,472
1565608481807998476.jpg,640,480,robot,3,0,72,439
1281.jpg,640,480,robot,67,61,196,277
0134.jpg,640,480,robot,345,96,545,470
1565608751350359179.jpg,640,480,robot,291,2,419,385
1565608604675266309.jpg,640,480,robot,1,0,83,408
0002.jpg,640,480,robot,109,70,241,347
frame0294.png,640,360,robot,293,68,349,191
7288.jpg,640,480,robot,390,90,521,401
1565608614711055153.jpg,640,480,robot,85,34,234,356
1565609215139776660.jpg,640,480,robot,384,84,554,469
1565609179207454365.jpg,640,480,robot,362,119,449,311
6719.jpg,640,480,robot,360,73,517,428
6988.jpg,640,480,robot,141,98,299,480
1565609215540369686.jpg,640,480,robot,413,38,640,480
6939.jpg,640,480,robot,349,99,524,440
1552.jpg,640,480,robot,204,159,438,463
1565608386808701996.jpg,640,480,robot,567,0,633,422
1565608751146314686.jpg,640,480,robot,290,1,419,386
frame0713.png,640,360,robot,472,91,519,174
1565608555175288597.jpg,640,480,robot,4,0,85,425
8730.jpg,640,480,robot,371,12,508,375
9225.jpg,640,480,robot,387,0,534,259
sequences_euro_ball_robot_1_c_00014.png,800,600,robot,411,194,514,349
1565609218639987997.jpg,640,480,robot,307,92,501,474
0119.jpg,640,480,robot,345,95,545,470
8710.jpg,640,480,robot,248,17,421,399
1565609173939635727.jpg,640,480,robot,528,103,616,295
frame0570.png,640,360,robot,312,97,332,151
5683.jpg,640,480,robot,251,114,445,457
1565609215108169036.jpg,640,480,robot,382,112,541,442
1114.jpg,640,480,robot,52,65,351,480
7796.jpg,640,480,robot,521,15,637,337
1565608678244157313.jpg,640,480,robot,101,9,219,376
1565608539776116300.jpg,640,480,robot,137,63,281,386
5350.jpg,640,480,robot,334,68,502,403
1565608360175710696.jpg,640,480,robot,4,31,137,401
1565608758044631740.jpg,640,480,robot,91,1,218,387
1565608768310754667.jpg,640,480,robot,0,13,113,403
frame0605.png,640,360,robot,0,75,21,136
8539.jpg,640,480,robot,301,0,460,417
frame0460.png,640,360,robot,82,60,113,118
7843.jpg,640,480,robot,522,17,636,333
1565609110879394152.jpg,640,480,robot,307,0,402,366
frame0530.png,640,360,robot,238,90,282,174
2853.jpg,640,480,robot,105,117,250,467
3248.jpg,640,480,robot,244,35,387,429
1565608482642150655.jpg,640,480,robot,2,29,134,398
1565609187207347852.jpg,640,480,robot,193,47,290,241
1565608685744442460.jpg,640,480,robot,386,4,493,389
0368.jpg,640,480,robot,402,33,518,285
1565608490207907333.jpg,640,480,robot,345,53,502,433
0041.jpg,640,480,robot,111,70,241,346
1184.jpg,640,480,robot,257,28,340,207
1565608382643688537.jpg,640,480,robot,533,0,637,449
